Box Label,Dim 1 (mm),Dim 2.  (mm),Dim 3 (mm)
Packrift 10x6x6 carton,254,152,152
Packrift 16x8x4 carton,406,203,102
Packrift 20x14x6 carton,508,356,152
Packrift 24x10x8 carton,610,254,203
Packrift 40x20x20 carton,1016,508,508
